Title,Publisher,Valuable,Count,IDnum
Good and Bad Ghosts,Kod Kod,TRUE,3,3552
GoodCritters,Arcane Wonders,TRUE,1,2525
"Good Dog, Bad Zombie",Make Big Things,TRUE,3,2599
Gravwell: Escape from the 9th Dimension,Renegade Game Studios,TRUE,1,2870
Great Western Trail,Eggertspiele,TRUE,1,2474
Greedy Kingdoms,Aeg,TRUE,3,2603
Greenland,Sierra Madre Games,TRUE,1,2954
Grifters,Indie Boards & Cards,TRUE,2,2391
Gruff,Studio Woe,TRUE,1,1333
Guardians,Plaid Hat Games,TRUE,1,2359
Gùg?ng,Game Brewer,TRUE,1,2694
Gunkimono,Renegade Game Studios,TRUE,1,2230
Hadara,Z-Man Games,TRUE,1,2974
Hafid's Grand Bazaar,Rather Dashing,TRUE,2,1795
Hako Onna,Wizkids,TRUE,1,3342
Hanamikoji,Emperors4,TRUE,1,2451
Hand of Fate: Ordeals,Rule & Make,TRUE,1,2435
Hannibal: Rome vs. Carthage,Valley Games,TRUE,1,364
Happy Salmon,North Star Games,TRUE,1,2570
Hardback,Fowers Games,TRUE,1,1871
Harry Potter: Hogwarts Battle,Usaopoly,TRUE,1,1659
Harvest,Tasty Minstrel Games,TRUE,1,1902
Hasp,Agie,TRUE,1,3285
HATSUDEN,Itten,TRUE,1,2360
Hawaii,Rio Grande Games,TRUE,1,365
Hawaii,Rio Grande Games,TRUE,1,365
Healthy Heart Hospital,Victory Point Games,TRUE,1,2833
Heap,Privateer Press,TRUE,1,366
Heaven & Ale,Eggerstpiele,TRUE,1,2031
HECK: A Tiny Card Game,Jason Anarchy Games,TRUE,4,3348
Heimlich & Co.,Amigo,TRUE,1,3486
Hellapagos,Gigamic,TRUE,1,1693
